Date,Optimized Portfolio Growth
2022-05-11,91.38190677472514
2022-05-12,89.16530523937227
2022-05-13,96.32232244478797
2022-05-14,97.90753580087353
2022-05-15,102.53859952767206
2022-05-16,97.02860545842941
2022-05-17,100.13121238302749
2022-05-18,93.05850117865639
2022-05-19,98.63217622826748
2022-05-20,96.21587139562754
2022-05-21,98.92624359485747
2022-05-22,101.80524879354446
2022-05-23,99.6464164118741
2022-05-24,102.83609011390561
2022-05-25,102.03400636792396
2022-05-26,96.14410735940359
2022-05-27,94.72296498661018
2022-05-28,97.02321369092
2022-05-29,97.15753269667783
2022-05-30,103.17179627073332
2022-05-31,102.85012802771008
2022-06-01,96.56257965068207
2022-06-02,99.11245634447549
2022-06-03,95.66532929829474
2022-06-04,97.49749662356398
2022-06-05,97.41139355243423
2022-06-06,97.86056080360908
2022-06-07,97.73875625394196
2022-06-08,96.91300506639116
2022-06-09,98.09153086596613
2022-06-10,94.16818716872528
2022-06-11,87.38256832561716
2022-06-12,82.41598009869577
2022-06-13,72.06393105837338
2022-06-14,73.38447746435227
2022-06-15,78.76527727779377
2022-06-16,70.3989370277025
2022-06-17,72.10970285422
2022-06-18,67.14749120731707
2022-06-19,73.33012505074377
2022-06-20,74.2569742860312
2022-06-21,76.38700905821172
2022-06-22,73.81234640415238
2022-06-23,77.87416597883366
2022-06-24,81.5337820508059
2022-06-25,81.50759607295205
2022-06-26,80.1854941038689
2022-06-27,79.86176176019382
2022-06-28,76.7732422205729
2022-06-29,75.59677261615802
2022-06-30,75.06193067280492
2022-07-01,74.09615622891212
2022-07-02,74.83650798534704
2022-07-03,75.19103047311324
2022-07-04,78.66696751027662
2022-07-05,77.98092002466498
2022-07-06,79.67825871560991
2022-07-07,81.49034423404244
2022-07-08,80.6150746648999
2022-07-09,81.49528955024175
2022-07-10,78.43358135909831
2022-07-11,74.98735970127304
2022-07-12,73.43911515423221
2022-07-13,76.35958543641561
2022-07-14,78.10186749920565
2022-07-15,78.2781760279844
2022-07-16,81.2759389789984
2022-07-17,80.52235289312945
2022-07-18,86.1774669943043
2022-07-19,87.53890532850222
2022-07-20,84.55505166214252
2022-07-21,86.11273369590106
2022-07-22,84.60641371251796
2022-07-23,84.30051988898492
2022-07-24,85.15529540795922
2022-07-25,79.27500157594508
2022-07-26,80.01301303365229
2022-07-27,86.4720906870486
2022-07-28,88.98842223945857
2022-07-29,93.02111453537043
2022-07-30,94.31579971301295
2022-07-31,94.64501692788446
2022-08-01,93.98026026133317
2022-08-02,92.22609396755422
2022-08-03,94.68901803412726
2022-08-04,97.3343467964773
2022-08-05,99.91042677060898
2022-08-06,100.49892779390896
2022-08-07,102.3161301504753
2022-08-08,103.48546520835065
2022-08-09,102.66965666428582
2022-08-10,104.73440430056503
2022-08-11,103.78714739983667
2022-08-12,105.73120359825023
2022-08-13,104.43680260260035
2022-08-14,104.70062726023357
2022-08-15,103.90776963458939
2022-08-16,105.12098131505354
2022-08-17,100.94783012511742
2022-08-18,97.06478377252527
2022-08-19,89.62555366783593
2022-08-20,90.61587738804954
2022-08-21,94.30701472035335
2022-08-22,93.57670499458557
2022-08-23,93.95331324934757
2022-08-24,92.85867706299231
2022-08-25,94.13211445295599
2022-08-26,86.77357595820847
2022-08-27,86.94897583918171
2022-08-28,85.37327036768828
2022-08-29,89.03307509462003
2022-08-30,87.28270647650328
2022-08-31,86.89627428657664
2022-09-01,87.48497966814617
2022-09-02,87.19409746630903
2022-09-03,88.16815065705623
2022-09-04,88.82019202993946
2022-09-05,88.5189144114081
2022-09-06,83.2679253303713
2022-09-07,87.60622893432429
2022-09-08,88.39168708098865
2022-09-09,92.69552865644614
2022-09-10,93.89951712134143
2022-09-11,93.5009298532694
2022-09-12,92.95264859459076
2022-09-13,87.30856235336461
2022-09-14,88.50805983021695
2022-09-15,86.35903016533321
2022-09-16,87.67044811936421
2022-09-17,89.83735051802478
2022-09-18,84.69043445486169
2022-09-19,85.81096261494439
2022-09-20,83.81364373226214
2022-09-21,82.91115292252177
2022-09-22,86.33333764486636
2022-09-23,88.14412709966807
2022-09-24,87.96003928169606
2022-09-25,87.86510190669429
2022-09-26,88.21678400701853
2022-09-27,87.76974233362048
2022-09-28,89.17232549204046
2022-09-29,89.78762083743179
2022-09-30,89.42690279796199
2022-10-01,88.38319090419614
2022-10-02,87.80737871962914
2022-10-03,89.0872592721966
2022-10-04,92.76289460309577
2022-10-05,92.39793587687714
2022-10-06,90.37641231120081
2022-10-07,89.45874077892395
2022-10-08,87.74480333512741
2022-10-09,88.53651986431197
2022-10-10,86.17997342315437
2022-10-11,85.65861226426762
2022-10-12,85.58536186041343
2022-10-13,85.39216461087257
2022-10-14,84.83088838380804
2022-10-15,84.48994225444017
2022-10-16,85.72733557833675
2022-10-17,86.96483303566372
2022-10-18,85.95043011237263
2022-10-19,84.70079958582329
2022-10-20,84.22682105315417
2022-10-21,84.52616846119741
2022-10-22,84.7647945673462
2022-10-23,86.42647250755388
2022-10-24,85.35672911178223
2022-10-25,88.57815742657765
2022-10-26,92.04944970927605
2022-10-27,91.69088028088179
2022-10-28,95.48753884732568
2022-10-29,104.4913307238955
2022-10-30,105.52728337265485
2022-10-31,109.28698589060723
2022-11-01,110.4603195308966
2022-11-02,106.95714235811049
2022-11-03,109.51046208401765
2022-11-04,117.34388204994197
2022-11-05,116.0165160163018
2022-11-06,111.22894869858852
2022-11-07,111.63202867681127
2022-11-08,102.37676269194091
2022-11-09,85.02341068158218
2022-11-10,97.37734999913305
2022-11-11,93.1699797781135
2022-11-12,90.51212643132723
2022-11-13,88.06457334995304
2022-11-14,88.8686716502536
2022-11-15,89.26354831931357
2022-11-16,87.60041990759167
2022-11-17,86.78495377194014
2022-11-18,87.86929029844352
2022-11-19,87.8159393898411
2022-11-20,83.81163546727056
2022-11-21,82.10412522355757
2022-11-22,86.01000998819534
2022-11-23,92.98407063463625
2022-11-24,93.74250514930785
2022-11-25,95.01913789251857
2022-11-26,97.38594617592638
2022-11-27,97.98200130104486
2022-11-28,95.4940815435923
2022-11-29,97.27439251268639
2022-11-30,99.95326547754343
2022-12-01,97.50958764649215
2022-12-02,98.21156674648091
2022-12-03,96.17199500668076
2022-12-04,97.69293053411894
2022-12-05,96.21285806411002
2022-12-06,96.2861687929753
2022-12-07,93.59823624122205
2022-12-08,95.65110065568366
2022-12-09,94.38727139871008
2022-12-10,94.64242609914612
2022-12-11,92.90158422872103
2022-12-12,90.91699803819606
2022-12-13,90.91869675441275
2022-12-14,89.59260241832264
2022-12-15,86.57668404256695
2022-12-16,77.1173252428273
2022-12-17,80.51779812065021
2022-12-18,81.41141398069213
2022-12-19,77.59757737711548
2022-12-20,81.0777190491758
2022-12-21,79.77724234263731
2022-12-22,80.45663541041652
2022-12-23,80.19352006414539
2022-12-24,79.96145560291339
2022-12-25,79.63030051158096
2022-12-26,79.93363762331886
2022-12-27,79.84251513425373
2022-12-28,78.296622774932
2022-12-29,78.62009105862327
